feature,thr,baseline,0,1,2,3,4,6,8,12,24
rsi14_lt,40.0,0.2008622655884422,0.3697129385660796,0.2870614339203994,0.2561364581888781,0.24254611010955485,0.22909443905144916,0.2094023020385522,0.20551934544445985,0.19345444459853003,0.22313132713909306
rsi14_lt,45.0,0.3451098961242967,0.5107474691443628,0.41616974067397033,0.38593815004853693,0.3672167521841631,0.35251698793509917,0.34003605602551656,0.3294966024129802,0.3171543475246152,0.3530716960199695
rsi14_lt,50.0,0.515609702275898,0.6315351546248786,0.5574816252946887,0.5294688670087366,0.5151851338233254,0.5045070031895715,0.4889751768132021,0.4800998474552767,0.47108584107613366,0.5122729163777562
trades_z,1.0,0.10798293436323744,0.2991263347663292,0.2130079045902094,0.1916782246879334,0.18171729782216672,0.1750832408435072,0.17462520821765687,0.15720038883488405,0.1685190330647402,0.17554597301432745
trades_z,2.0,0.04723926300103488,0.18624323949521565,0.11829149909859936,0.09334257975034674,0.0898876404494382,0.07935627081021088,0.08772903942254304,0.07207332314956257,0.0757154765212559,0.09389344832382807
trades_z,3.0,0.024004057515190604,0.13146581611426986,0.06906115656635696,0.053952843273231625,0.04827299209321681,0.04078801331853496,0.051637978900610775,0.040272184418830716,0.039316476799110864,0.05633606899429684
vol_ratio_4h,1.5,0.16120903835058345,0.33296352794341977,0.2884482041325752,0.2725381414701803,0.2677209044250243,0.25749167591564925,0.2491671293725708,0.2419108457158728,0.2352042233953876,0.23814160523021283
vol_ratio_4h,2.0,0.0832959373823881,0.2225766190542227,0.18194425183747054,0.1710124826629681,0.164100430018033,0.16204217536071033,0.1504719600222099,0.13942507985002084,0.13920533481522646,0.15495896508554735
vol_ratio_4h,3.0,0.029752349403343786,0.11496325058937734,0.08209679656080987,0.07212205270457697,0.07185462616174226,0.07158712541620421,0.06496390893947807,0.05721427579502847,0.06057238121700472,0.07205452775073028
vol_z,1.0,0.1076122456366666,0.29704617944806544,0.20718346969907087,0.18613037447988903,0.17880427243723124,0.17022752497225305,0.17254303164908386,0.15720038883488405,0.16254515143095305,0.17429406037000975
vol_z,2.0,0.04724798508871889,0.18014145056164194,0.11759811399251144,0.09361997226074896,0.08572617561381607,0.08171476137624861,0.08578567462520821,0.06985140952645466,0.07488191164212281,0.09291973848935874
vol_z,3.0,0.02420030448808105,0.1241159339897379,0.06878380252392179,0.053814147018030514,0.046608406158967955,0.043146503884572696,0.04830649639089395,0.03930009720872101,0.039872186718532925,0.05105021560717763
vol_z,4.0,0.013690188828837315,0.09319095825821662,0.0431285535986687,0.03370319001386963,0.027881814398668332,0.022475027746947835,0.027068295391449195,0.022080266629634773,0.02222839677688247,0.03491445263597162
