rule,fires,fires_per_coin_per_month,precision,base_rate,lift,median_fwd_max,mean_fwd_ret,median_fwd_ret,p_fwd_ret_pos,mean_fwd_ret_net,median_fwd_dd
V7: vol_z>6 & rsi14<45 & ret_4h<0,3810,1.1963215467401416,0.04383202099737533,0.0031447487144733014,13.93816326107205,0.032621854032299225,0.00956496962262238,0.006399109890473431,0.5603674540682415,0.006064969622622381,-0.03612599609580225
V6: vol_z>4 & rsi14<45 & bb_width_pct>0.6,7103,2.2303075975053086,0.043784316485991834,0.0031447487144733014,13.922993682922947,0.03780964797913944,0.010333654937434204,0.008356545961002881,0.5751091088272561,0.006833654937434205,-0.038389331261733606
V8: vol_z>4 & dist_24h_high<-0.05,10587,3.324266723185795,0.03986020591291206,0.0031447487144733014,12.675164069377178,0.04251518399428367,0.008933834048020804,0.004621746533689963,0.5341456503258714,0.005433834048020805,-0.04413472706155641
V1: vol_z>4 & rsi14<45,10416,3.2705735514029692,0.03206605222734255,0.0031447487144733014,10.19669777739718,0.03202065468588444,0.005727229426574783,0.004438534278959905,0.5429147465437788,0.0022272294265747827,-0.03576571697490488
vol_z > 6,11667,3.6633814923404806,0.03085626124967858,0.0031447487144733014,9.811995822644462,0.03820834747200541,0.005788132305446859,-0.002132196162047073,0.4819576583526185,0.0022881323054468592,-0.039125151883353526
V3: vol_z>4 & taker_buy<0.48,10678,3.352840282438643,0.029968158831241806,0.0031447487144733014,9.529587751580026,0.033314134286118846,0.0067372214962633055,0.002768981754804334,0.5232253230942124,0.0032372214962633054,-0.03533365345309136
V4: vol_z>4 & bb_width_pct>0.6,21655,6.799565116708075,0.029046409605172015,0.0031447487144733014,9.236480317644984,0.0423317140874393,0.008419448917018551,0.0,0.4986377280073886,0.004919448917018551,-0.040916166333111015
V2: vol_z>4 & ret_24h<0,11401,3.579858780678308,0.028944829400929743,0.0031447487144733014,9.204178784687912,0.031571752375639806,0.004505701481310798,0.0036008230452675427,0.5332865538110692,0.0010057014813107975,-0.03550973654066447
V5: vol_z>4 & trades_z>3,28934,9.085135861779332,0.022914218566392478,0.0031447487144733014,7.28650224449818,0.038098421186656406,0.006050265754115043,-0.0009266777128051906,0.4910831547660192,0.002550265754115043,-0.03838942218517388
trades_z > 4,31101,9.765563366185075,0.022153628500691296,0.0031447487144733014,7.044641881474367,0.03744093057070175,0.005775315018670889,-0.000302023557837483,0.4955146136780168,0.002275315018670889,-0.03777901785714288
vol_z > 4,31392,9.856935956762868,0.021406727828746176,0.0031447487144733014,6.807134614675082,0.03672949134906134,0.005739648949475215,-0.0009757599335718514,0.4903797145769623,0.0022396489494752145,-0.03733876848145046
trades_z > 3,55042,17.282921410937234,0.017223211365866065,0.0031447487144733014,5.476816410353695,0.0367475632353933,0.005910599953118173,0.00011117699377405366,0.5001816794447876,0.0024105999531181727,-0.03653444676409179
vol_z > 3,55492,17.424219231418352,0.01612845094788438,0.0031447487144733014,5.128693072885366,0.03598028747810311,0.005194412167720817,-0.0006088598765944808,0.49271967130397176,0.001694412167720817,-0.03639876932064806
vol_ratio_4h > 3,68223,21.421691570407525,0.012151327264998608,0.0031447487144733014,3.8640057976885998,0.04084014002333736,0.005509495247830264,-0.0017861794390827135,0.4839716811046128,0.0020094952478302637,-0.039477963032378216
vol_z > 2,108341,34.01854926387761,0.011989920713303365,0.0031447487144733014,3.8126800587027185,0.034778875053671054,0.005247680455768209,0.0,0.49624795783683,0.001747680455768209,-0.03481822836661552
vol_z > 1,246758,77.48081685839996,0.008680569626921923,0.0031447487144733014,2.7603380794690264,0.033067236867959315,0.004706483332809636,0.0,0.49678632506342246,0.0012064833328096357,-0.03313145707160681
ret_24h < -0.05 (down day),282487,88.69954980944418,0.008364986707352905,0.0031447487144733014,2.659985730768926,0.04019412841117043,0.0061852618834508455,0.005046723792805352,0.5401558301797958,0.0026852618834508454,-0.03820930471961864
X2: vol_z>2 & 7d-high break,7875,2.4727118584195837,0.006222222222222222,0.0031447487144733014,1.9786071279988906,0.03268902785673666,0.004002824700813947,-0.002666666666666706,0.470984126984127,0.000502824700813947,-0.03099343185550074
bb_width_pct > 0.75 (already volatile),572687,179.82094426193476,0.0058373945977471114,0.0031447487144733014,1.8562356257214618,0.0336097773897861,0.004603456263459296,0.0008835519331582553,0.5059954215828192,0.0011034562634592957,-0.03340757238307357
rsi14 < 40 (oversold),460583,144.62083122367838,0.0057883161124053645,0.0031447487144733014,1.8406291370007988,0.02758620689655178,0.0020342241355482214,0.0020366598778003286,0.5196804918983114,-0.0014657758644517787,-0.030062630480166996
X1: vol_z>2 & taker_buy>0.55 & at 24h high,9685,3.041043091910307,0.004130098089829634,0.0031447487144733014,1.3133316728364937,0.02939306499730998,0.003291189366932282,-0.001457725947521915,0.4801239029426949,-0.00020881063306771828,-0.02729717091419226
taker_buy < 0.45 (sell-side flush),625512,196.407738410635,0.0033972169998337364,0.0031447487144733014,1.0802824989476845,0.024059969112752877,0.0004883149746232797,-0.0009408444208690581,0.4850506465103787,-0.0030116850253767203,-0.026425591098748313
rsi14 > 60 (overbought),423637,133.01996616702186,0.0030875490101195126,0.0031447487144733014,0.9818110413431336,0.02857142857142847,0.00257823510775487,-0.0031113876789048422,0.46385702854094424,-0.00092176489224513,-0.029545454545454652
bb_width_pct < 0.25 (squeeze),616993,193.73281367134913,0.0015559333736363298,0.0031447487144733014,0.4947719245341755,0.021428571428571352,-0.0015285697885592,-0.0021715526601521207,0.4683132547695031,-0.0050285697885592,-0.025062002349562795
taker_buy > 0.55 (aggressive buying),491823,154.43003991663426,0.0014964733247530108,0.0031447487144733014,0.4758641979455099,0.02404897245299531,0.0003428817074215416,-0.001395060452619612,0.47910935438155594,-0.0031571182925784584,-0.026244857426585222
dist_24h_high > -0.01 (at 24h high),393727,123.62837103237682,0.0009600560794662291,0.0031447487144733014,0.305288646767767,0.020074598717572778,0.00010730316216057747,-0.0016618196925634043,0.4710446578466806,-0.0033926968378394226,-0.021563342318059342
