rule,n,real_rate,mfe2h_median,mae2h_median,lift_vs_base
ret5 >= 10%,18,0.5555555555555556,20.843929155451235,5.9949319633099245,2.978395061728395
ret5>=7 AND RVOL>=150,47,0.425531914893617,15.63564131668558,4.249520541031604,2.2813238770685578
ret5>=7 AND close_pos>=0.80,36,0.4166666666666667,15.220041751211888,2.792708146223954,2.2337962962962963
ret5>=7 AND close_pos>=0.80 AND body>=70,36,0.4166666666666667,15.220041751211888,2.792708146223954,2.2337962962962963
ret5>=7 AND body>=70,50,0.4,15.197714367981206,3.1545792353038227,2.144444444444445
ret5 >= 7%,59,0.3898305084745763,15.472586612848982,3.4376051126808083,2.0899246704331453
12h range >= 8% (already expanded),56,0.2857142857142857,9.664071448053491,0.9997407205412201,1.5317460317460316
close in top 10% of candle,47,0.2765957446808511,11.690584529226468,2.0835996420810465,1.4828605200945628
close in top 20% of candle,88,0.25,11.27826386305184,2.367711135382133,1.340277777777778
RVOL >= 250,64,0.25,12.250001433889114,2.387473976932542,1.340277777777778
vol_accel_1h < 40,68,0.25,9.78256450925278,0.6357903450273428,1.340277777777778
body >= 70% of range,116,0.2413793103448276,11.717288950611572,2.9436129254429955,1.2940613026819925
RVOL >= 100,137,0.22627737226277372,10.69566780514113,1.9671019162285968,1.2130981346309815
taker_buy_share >= 0.60,59,0.1864406779661017,8.648275862068955,1.5801661898923849,0.9995291902071564
12h range <= 6%,110,0.12727272727272726,8.38477366255145,1.9242473928085535,0.6823232323232322
vol_accel_1h >= 80,65,0.12307692307692308,10.361923648983652,2.2539395505037474,0.6598290598290599
12h range <= 4% (compression),50,0.1,7.0119322960471075,1.4394337442968475,0.5361111111111112
