trades,wins,losses,win_rate,payoff,pf,exp_R,sum_R,net,end,ret,maxdd,tgt_exits,stop_exits,time_exits,filter,exit,skipped
169,74,95,0.4378698224852071,1.5586984589297168,1.214144062745253,0.052533647340017274,8.87818640046292,875.3375563512351,10875.337556351242,8.75337556351241,-4.730405294195683,16,26,129,ALL,A1 stop-8 tgt+16 2h,24
169,74,95,0.4378698224852071,1.4273780583232551,1.1118523822728514,0.028678802476437577,4.846717618517951,447.4224593636074,10447.422459363597,4.474224593635978,-6.544040902798065,9,26,136,ALL,A2 stop-8 tgt+20 2h,24
169,66,103,0.3905325443786982,1.2618120062859721,0.8085397321832444,-0.07990879562935516,-13.504586461361022,-1337.664434400747,8662.335565599245,-13.376644344007548,-20.802954100261918,17,68,91,ALL,B  stop-5 tgt+12 2h,24
182,81,101,0.44505494505494503,1.2707610490008918,1.0191251977135865,0.004373078449561807,0.7959002778202489,58.37396276451233,10058.373962764508,0.5837396276450857,-3.963162194298109,22,17,145,ALL,C1 time 30m 1R stop-8,11
177,78,99,0.4406779661016949,1.3779617968838962,1.0856668702721606,0.01735242207622604,3.0713787074920087,285.8892129353468,10285.889212935344,2.858892129353441,-4.411077411716125,28,19,132,ALL,C2 time 1h 1R stop-8,16
35,19,16,0.5428571428571428,1.0874738298551916,1.29137517295304,0.10858420620059914,3.8004472170209698,366.90364584464754,10366.903645844646,3.669036458446473,-3.196696013565481,7,12,17,S70,A1 stop-8 tgt+16 2h,1
35,19,16,0.5428571428571428,1.0942391096540682,1.2994089427142061,0.111287363053308,3.89505770686578,374.448203933823,10374.448203933825,3.7444820393382594,-3.1464139246977663,5,12,19,S70,A2 stop-8 tgt+20 2h,1
35,15,20,0.42857142857142855,1.0971602540940146,0.822870190570511,-0.09548632984986945,-3.3420215447454305,-355.56608170781374,9644.433918292181,-3.555660817078188,-5.037986135006422,6,22,9,S70,B  stop-5 tgt+12 2h,1
35,18,17,0.5142857142857142,1.112089125847095,1.1775061332498653,0.04174405380566722,1.4610418831983525,139.7618084615875,10139.761808461584,1.3976180846158481,-2.3876234921834327,8,7,21,S70,C1 time 30m 1R stop-8,1
35,19,16,0.5428571428571428,1.0054958363537576,1.1940263056700873,0.04980979196504204,1.7433427187764714,167.4551902669475,10167.455190266943,1.67455190266943,-3.1766540839812674,9,8,19,S70,C2 time 1h 1R stop-8,1
21,10,11,0.47619047619047616,1.5567479125341819,1.4152253750310742,0.16307798277373284,3.4246376382483894,334.2861332402264,10334.286133240224,3.342861332402247,-3.3571921052478526,5,8,9,S80,A1 stop-8 tgt+16 2h,0
21,10,11,0.47619047619047616,1.66834745870423,1.5166795079129365,0.20269409704669328,4.256576037980559,417.74260475200987,10417.74260475201,4.177426047520094,-3.0068491095703087,4,8,10,S80,A2 stop-8 tgt+20 2h,0
21,10,11,0.47619047619047616,1.3407238000357011,1.2188398182142737,0.1279161983963711,2.6862401663237936,251.49405252844036,10251.494052528444,2.514940525284448,-3.7280381462962753,5,12,5,S80,B  stop-5 tgt+12 2h,0
21,12,9,0.5714285714285714,1.2550933323203346,1.6734577764271126,0.1282891870084842,2.6940729271781683,268.34326255306814,10268.343262553066,2.6834326255306573,-1.341082697446505,6,4,12,S80,C1 time 30m 1R stop-8,0
21,13,8,0.6190476190476191,1.2521942184042572,2.034815604906918,0.18962759602472318,3.982179516519187,400.95122051774996,10400.951220517753,4.0095122051775345,-1.3437827506890487,7,4,11,S80,C2 time 1h 1R stop-8,0
