feature,real_median,fail_median,real_p75,fail_p75,median_diff,p_real_gt_fail,direction
ret5_pct,8.042218559930824,5.343007915567277,10.63453637897203,6.562500000000004,2.6992106443635464,0.806,higher_in_REAL
range_pct,10.691369119478189,8.669755129053613,13.02410992049776,10.655040408336893,2.0216139904245765,0.67675,higher_in_REAL
close_pos,0.8722935372240928,0.7574931880108988,0.9273365617433414,0.8833819241982506,0.11480034921319393,0.66175,higher_in_REAL
quote_volume_5m,397725.33475299994,272404.53159,596863.89519925,459883.053097,125320.80316299992,0.65075,higher_in_REAL
body_pct,82.85802469135793,74.85029940119759,90.72795718266022,86.38095238095225,8.007725290160337,0.648,higher_in_REAL
range12_pct,7.003646622776072,5.25349008082292,9.799422651650811,8.044343376918706,1.7501565419531522,0.63325,higher_in_REAL
rvol,215.50473907724358,150.13516533364174,399.515105972858,303.89698487280856,65.36957374360185,0.61775,higher_in_REAL
volume24_usd,1555807.86476,1466605.22615,1781292.7811733999,1770127.550459,89202.63861000002,0.57325,higher_in_REAL
taker_buy_share,0.5655552344906835,0.5562422923478102,0.6053596642674948,0.6156876359798655,0.00931294214287326,0.512,higher_in_REAL
trades_accel,27.63078988537262,29.704605611434623,40.7988223444947,51.53818827708704,-2.0738157260620014,0.45825,higher_in_FAIL
vol_accel_1h,50.013278261470916,60.228291460971306,69.5697428114415,126.68723961545416,-10.21501319950039,0.4325,higher_in_FAIL
