symbol,n,real,score_median,mfe2h_median
AGTUSDT,20,2,34.5,12.82424285566901
BROCCOLIF3BUSDT,13,2,29.0,10.931518502764792
AINUSDT,8,1,19.0,8.993067106105457
KOMAUSDT,8,1,32.0,6.815427718318601
DODOXUSDT,6,2,59.0,12.846475714780604
GTCUSDT,6,1,25.0,5.274302634841755
1000000BOBUSDT,5,2,20.0,11.433305716652844
NAORISUSDT,5,2,39.0,6.677316293929714
MAVIAUSDT,4,0,33.0,6.268851342592852
AKEUSDT,3,1,7.0,4.294134156609597
ALCHUSDT,3,1,0.0,5.9627800987466895
BULLAUSDT,3,1,47.0,7.350498338870426
BUSDT,3,1,43.0,7.148864592094206
AVAAIUSDT,3,0,42.0,10.372592358699071
BANUSDT,3,0,63.0,11.934093008931336
BNCUSDT,3,0,50.0,6.368460955269151
CHILLGUYUSDT,3,0,37.0,11.743993371996677
MAGMAUSDT,2,2,59.0,34.18162546000663
APRUSDT,2,1,62.0,17.163346975736538
BIRBUSDT,2,1,69.0,12.243364443347069
BNTUSDT,2,1,34.0,16.17214391825792
BRUSDT,2,1,53.0,28.397526440477918
BTRUSDT,2,1,61.0,29.849170155502392
FWDIUSDT,2,1,44.0,15.355842587607894
1000XECUSDT,2,0,54.0,10.674629113974
AIOTUSDT,2,0,28.0,8.036005945581316
AIOUSDT,2,0,34.5,11.296475669317097
ARIAUSDT,2,0,50.0,9.365253065486133
AZTECUSDT,2,0,67.5,11.47455275341024
BOTUSDT,2,0,62.5,9.065533782727098
BRETTUSDT,2,0,47.5,6.964216338035589
CLANKERUSDT,2,0,45.5,8.767842052886332
CROSSUSDT,2,0,64.5,8.506911718504561
ESPORTSUSDT,2,0,46.5,13.124560540341879
ETHWUSDT,2,0,29.5,4.825035691390545
FUSDT,2,0,58.0,6.762968971682959
HANAUSDT,2,0,23.5,8.986929462973336
HIMSUSDT,2,0,49.5,8.535024850501927
ICNTUSDT,2,0,44.5,13.019695714393308
IRYSUSDT,2,0,80.0,13.012367628939936
JCTUSDT,2,0,56.5,9.201606305974186
MAVUSDT,2,0,44.5,13.832609744331869
MITOUSDT,2,0,20.0,4.6227050487562815
B2USDT,1,1,47.0,20.365912373615803
BLUAIUSDT,1,1,79.0,12.774451097804397
BMTUSDT,1,1,73.0,27.014218009478675
CETUSUSDT,1,1,36.0,24.48979591836736
DOLOUSDT,1,1,84.0,38.3304940374787
FIDAUSDT,1,1,65.0,24.48979591836736
FLNCUSDT,1,1,55.0,24.810246679316883
FLUIDUSDT,1,1,98.0,24.05159332321698
LISTAUSDT,1,1,96.0,21.96531791907512
OGNUSDT,1,1,96.0,37.64213046080192
ONUSDT,1,1,56.0,24.487787420595875
ALABUSDT,1,0,57.0,10.237557933561426
BASUSDT,1,0,0.0,3.068689357769916
BELUSDT,1,0,80.0,12.142152023692
BLESSUSDT,1,0,44.0,8.033863165169318
CARVUSDT,1,0,51.0,6.733167082294256
COLLECTUSDT,1,0,12.0,3.3699356304430106
CRWDUSDT,1,0,58.0,10.25762355415354
CTSIUSDT,1,0,46.0,7.638888888888906
CUSDT,1,0,58.0,5.916993830622541
CYSUSDT,1,0,16.0,7.000000000000006
DOGSUSDT,1,0,55.0,6.875000000000009
DRIFTUSDT,1,0,76.0,10.62463514302394
ELSAUSDT,1,0,60.0,8.975659229208933
ERAUSDT,1,0,28.0,4.929577464788726
FHEUSDT,1,0,2.0,5.366631243358122
FIGHTUSDT,1,0,6.0,8.619269832555565
FLUXUSDT,1,0,2.0,0.904641850808252
GMEUSDT,1,0,54.0,4.809894640403112
GRIFFAINUSDT,1,0,72.0,12.477802770214286
HAEDALUSDT,1,0,86.0,16.49970536240424
INXUSDT,1,0,67.0,16.3994743758213
IOSTUSDT,1,0,10.0,8.32399551784857
IRENUSDT,1,0,39.0,6.820143884892072
KGENUSDT,1,0,38.0,10.727643658619511
KNCUSDT,1,0,60.0,6.772207563764288
LQTYUSDT,1,0,77.0,9.161655465157391
LSKUSDT,1,0,0.0,3.3997655334114807
MAGICUSDT,1,0,40.0,8.472635676665918
MANTRAUSDT,1,0,39.0,8.136621389951216
MEGAUSDT,1,0,45.0,7.667731629392982
MEWUSDT,1,0,61.0,9.081606548989509
